,Owner,Country of Origin,Altitude,Region,In-Country Partner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,year,Price,target,Altitude2,alt
0,metad plc,ethiopia,1950-2200,guji-hambela/goyo,metad agricultural development plc,nan,washed / wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,12 %,0 full defects,0.0,green,0 full defects,2015,76.03,1.0,,2075
1,metad plc,ethiopia,1950-2200,guji-hambela/alaka,metad agricultural development plc,other,washed / wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,12 %,0 full defects,0.0,green,1 full defects,2015,76.03,1.0,,2075
2,grounds for health admin,guatemala,1600 - 1800 m,nan,specialty coffee association,bourbon,nan,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,0 %,0 full defects,0.0,nan,0 full defects,2010,144.77,1.0,,1700
3,yidnekachew dabessa,ethiopia,1800-2200,oromia,metad agricultural development plc,nan,natural / dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,11 %,0 full defects,0.0,green,2 full defects,2015,76.03,1.0,,2000
4,metad plc,ethiopia,1950-2200,guji-hambela/bishan fugu,metad agricultural development plc,other,washed / wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,12 %,0 full defects,0.0,green,2 full defects,2015,76.03,1.0,,2075
7,ethiopia commodity exchange,ethiopia,1570-1700,oromia,ethiopia commodity exchange,nan,nan,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,3 %,0 full defects,0.0,nan,0 full defects,2010,85.46,1.0,,1635
8,ethiopia commodity exchange,ethiopia,1570-1700,oromiya,ethiopia commodity exchange,nan,nan,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,3 %,0 full defects,0.0,nan,0 full defects,2010,85.46,1.0,,1635
9,diamond enterprise plc,ethiopia,1795-1850,"snnp/kaffa zone,gimbowereda",metad agricultural development plc,other,natural / dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,10 %,0 full defects,0.0,green,4 full defects,2015,76.03,1.0,,1822
10,mohammed lalo,ethiopia,1855-1955,oromia,metad agricultural development plc,nan,natural / dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,10 %,0 full defects,0.0,nan,1 full defects,2015,76.03,1.0,,1905
11,cqi q coffee sample representative,united states,meters above sea level: 1.872,antioquía-giraldo,almacafé,other,washed / wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0 %,0 full defects,0.0,nan,0 full defects,2015,nan,1.0,,1872
12,cqi q coffee sample representative,united states,meters above sea level: 1.943,antioquía-betulia,almacafé,other,washed / wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,0 %,0 full defects,0.0,nan,0 full defects,2015,nan,1.0,,1943
13,grounds for health admin,united states (hawaii),2000 ft,kona,specialty coffee association,nan,nan,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,0 %,0 full defects,0.0,nan,2 full defects,2010,nan,1.0,,9607
14,ethiopia commodity exchange,ethiopia,1570-1700,oromiya,ethiopia commodity exchange,nan,nan,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,5 %,0 full defects,0.0,nan,2 full defects,2010,85.46,1.0,,1635
15,cqi q coffee sample representative,united states,meters above sea level: 2.080,antioquía-caicedo,almacafé,other,washed / wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,0 %,0 full defects,0.0,nan,0 full defects,2015,nan,1.0,,2080
16,grounds for health admin,indonesia,1200-1800m,sulawesi,specialty coffee association,nan,nan,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,3 %,0 full defects,0.0,nan,0 full defects,2010,nan,1.0,,1500
