,Country of Origin,In-Country Partner,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Quakers,Category Two Defects,year,target,final_final_alt
0,ethiopia,metad agricultural development plc,washed / wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,12,0,0.0,0,2015,1.0,632.46
1,ethiopia,metad agricultural development plc,washed / wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,12,0,0.0,1,2015,1.0,632.46
3,ethiopia,metad agricultural development plc,natural / dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,11,0,0.0,2,2015,1.0,609.6
4,ethiopia,metad agricultural development plc,washed / wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,12,0,0.0,2,2015,1.0,632.46
7,ethiopia,metad agricultural development plc,natural / dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,10,0,0.0,4,2015,1.0,1822.0
8,ethiopia,metad agricultural development plc,natural / dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,10,0,0.0,1,2015,1.0,1905.0
9,united states,almacafé,washed / wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0,0,0.0,0,2015,1.0,1872.0
10,united states,almacafé,washed / wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,0,0,0.0,0,2015,1.0,1943.0
13,united states,almacafé,washed / wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,0,0,0.0,0,2015,1.0,633.984
16,china,yunnan coffee exchange,washed / wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,10,0,0.0,0,2016,1.0,1450.0
17,ethiopia,blossom valley international,natural / dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,0,0,0.0,8,2015,1.0,1850.0
